takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
Na Cnapanan,Highland,56.96742,-4.5118,Highland
Nant,Snowdonia,52.96924,-4.4592849999999995,Snowdonia
Nant Y Moel,SW Wales,51.632525,-3.52589,SW Wales
Near Abington,LLSC,55.486374999999995,-3.6764900000000003,LLSC
Nevis Range,SMPC,56.84188,-4.97152,SMPC
Newburgh,LLSC,56.35788,-3.19452,LLSC
Newgale,SW Wales,51.83807,-5.112865,SW Wales
Newhaven,Southern,50.782,0.04792,Southern
Nont Sarahs,Derbyshire,53.61865,-1.97303,Derbyshire
North Luffenham,Rutland,52.63035,-0.60998,Rutland
Nr Broughton,LLSC,55.614850000000004,-3.39281,LLSC
Nr Dolgarrog,Snowdonia,53.17441,-3.87424,Snowdonia
Old Bewick,Northumbria,55.48752,-1.87987,Northumbria
Pandy,SE Wales,51.90795,-2.99456,SE Wales
Pandy Ridge,SE Wales,51.93762,-3.00817,SE Wales
Panorama,North Wales,52.98267,-3.13775,North Wales
Park Fell,Dales,54.18967,-2.35993,Dales
Parlick,Pennine,53.89987,-2.61796,Pennine
Parracombe,North Devon,51.17836,-3.87586,North Devon
Pen Dinas,Mid Wales,52.39909,-4.0893250000000005,Mid Wales
Pen Y Fan,SW Wales,51.88303,-3.44538,SW Wales
Pendle,Pennine,53.857325,-2.33822,Pennine
Pendle East,Pennine,53.871805,-2.2966499999999996,Pennine
Penmaen Bach,Snowdonia,53.28425,-3.87592,Snowdonia
Penycloddiau,North Wales,53.2048,-3.30875,North Wales
Penyghent,Dales,54.159015,-2.250465,Dales
Pinnacle Hill,Malvern,52.07676,-2.3391200000000003,Malvern
Pontlottyn,SW Wales,51.738675,-3.2819149999999997,SW Wales
Pressendye,Aberdeen,57.167715,-2.84776,Aberdeen
Primrose Valley,Cayley,54.19188,-0.2823,Cayley
Quinag,Highland,58.19839,-5.023595,Highland
Quiraing,Highland,57.6291,-6.289009999999999,Highland
Radar Masts,Northumbria,54.7572,-2.5746849999999997,Northumbria
Rebecca,Cumbria,54.19645,-3.1824250000000003,Cumbria
Red Pike,Cumbria,54.52747,-3.29862,Cumbria
Red Screes,Cumbria,54.46935,-2.93378,Cumbria
Reighton,Cayley,54.16498,-0.24596,Cayley
Rhiw Wen,SW Wales,51.855975,-3.848115,SW Wales
Ringstead,Wessex,50.640175,-2.34191,Wessex
Roaches,Derbyshire,53.169285,-2.003125,Derbyshire
Robinson,Cumbria,54.53732,-3.23605,Cumbria
