device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
O,017B28,Cessna 172,HA-DOM,DOM,Y,Y,2
O,018A40,Gyrocopter,OMM-072,SZL,Y,Y,3
O,01DC29,Rubik R-26 Gobe,HA5559,,Y,Y,1
O,01FC07,Paraglider,Ernst,GRO,Y,Y,6
I,0201E8,Phoebus,D-8147,,Y,Y,1
O,020827,VSO-10,GGP5,GG5,Y,Y,1
O,021338,LS-1 f,C3ZEL,IBI,Y,Y,1
O,022710,VT-116 Orlik II,OK-6922,22,Y,Y,1
O,023324,Drone/UAV,MET,RRR,Y,Y,5
O,023753,A380,PK14,,Y,Y,1
O,023F97,AutoGyro MTOsport,SP-X4AV,,Y,Y,3
O,024234,Twin Astir II,OK-3780,TW,Y,Y,1
O,024932,UFO,CC-TR23,T23,Y,Y,6
O,024B60,OldTimer,OM-OLD3,OB3,Y,Y,1
O,024F0A,Unknown,KEK EG,124,Y,Y,6
F,025226,Paraglider,51271,,Y,Y,6
F,025522,FK9 Mark 2,QR,,Y,Y,3
O,026079,Robinson R44,HA-FTX,FTX,Y,Y,4
O,02A9CA,Drone/UAV,TESTAIR,07,Y,Y,5
O,02A9CB,Drone/UAV,TEST4A,,Y,Y,5
O,02AD34,VSO-10,OM-8517,72,Y,Y,1
F,02AF70,Discus,OH770,PO,Y,Y,1
F,02B700,SZD-50 Puchacz,OH859,PE,Y,Y,1
F,02B940,Astir Jeans,OH540,PC,Y,Y,1
O,02DEED,Blanik,OM-0218,,Y,Y,1
O,030581,Paraglider,,,Y,Y,6
O,031C72,Paraglider,,379,Y,Y,6
O,032536,Cirrus Std,OK-0376,UB,Y,Y,1
O,033042,Drone/UAV,METEO5,,Y,Y,5
O,033631,HangGlider,65-17,,Y,Y,6
F,033899,Ka-7,D-8463,P03,Y,Y,1
O,033915,LAK-17 AT,D-KGPC,PC,Y,Y,1
O,03440C,Blanik,OK-2710,SG1,Y,Y,1
O,034819,DR-400,D-EBSK,ROB,Y,Y,2
F,034CE8,Motorplane,D-MFFW,MUK,Y,Y,2
O,034F00,PIK-20 D,C-GINY,GY,Y,Y,1
O,035E35,UFO,CC-TR4,TR4,Y,Y,6
O,036A01,Cessna 172,CC-KWG,WG,Y,Y,2
F,037B68,PA-25 Pawnee,N9892P,2P,Y,Y,2
O,03885C,Zlin 526F,OK-KNI,JG,Y,Y,2
O,038C18,Ultralight,FJWAL,,Y,Y,3
O,03A938,Z-226 trener,OM-MHG,G,Y,Y,2
O,03AB74,Ultralight,OKAUU03,AUU,Y,Y,3
O,03AF2A,Experimental,,201,Y,Y,1
F,03B6EE,LS-1 d,D-0669,F,Y,Y,1
F,03C119,IS-28B2,HA-5034,VA2,Y,Y,1
O,03D707,Cessna 172,OM-SNA,,Y,Y,2
O,03DB0E,HangGlider,20-53,XXX,Y,Y,6
F,03E773,Ventus cM,D-KKIL,GW,Y,Y,1
I,040002,Ground Station,YU1WAT,5e3,Y,Y,6
O,04008F,Paraglider,,,Y,Y,6
O,04009B,Paraglider,PPG,,Y,Y,6
O,040311,Paraglider,FDGS,,Y,Y,6
O,040404,Paraglider,tomasz,713,Y,Y,6
O,041156,Libelle Std,VH-GJW,,Y,Y,1
O,041203,Paraglider,041203,,Y,Y,6
O,041337,Ground Station,GNDSt,,Y,Y,6
F,041464,Unknown,TTB,TTB,Y,Y,6
O,041926,Paraglider,TDCaw,,Y,Y,6
O,041A1D,Ground Station,041A1D,G-,Y,Y,6
O,041A1E,Parrot Bebop,041A1D,G-,Y,Y,5
O,041F2F,Ground Station,,GDS,Y,Y,6
O,042703,Paraglider,,,Y,Y,6
O,042773,ASK-13,OK-2302,ASK,Y,Y,1
O,042BE2,Paraglider,11234,112,Y,Y,6
O,045D2C,,,,N,N,6
O,046127,Cessna 172,D-EEVQ,EVQ,Y,Y,2
O,046213,Paraglider,Peak4,69,Y,Y,6
O,046215,A60 Fauconnet,,,Y,Y,1
O,046217,Paraglider,Peak4,NK,Y,Y,6
O,04637C,Cessna 172,HA-BFW,BFW,Y,Y,2
O,0477A1,Paraglider,0477A1,,Y,Y,6
O,047A2C,Ultralight,26-31,SES,Y,Y,3
F,047B88,Ground Station,AIM1,AIM,Y,Y,6
O,047BA8,HangGlider,10-41,Lal,Y,Y,6
O,047EA8,Paraglider,BAT,,Y,Y,6
O,048558,Ultralight,OM_M490,,Y,Y,3
O,048580,Paraglider,Pg001,EVI,Y,Y,6
O,0485EC,HangGlider,10-37,Sti,Y,Y,6
O,0486F0,Ultralight,HA-UBW,UBW,Y,Y,3
O,04890C,Ultralight,OM-M835,FOX,Y,Y,3
O,048A30,HangGlider,1-238,,Y,Y,6
O,049E34,AutoGyro MTOsport,HA-GYH,HYH,Y,Y,3
F,04AAAC,A380,,,Y,Y,1
F,04AAAD,A380,,,Y,Y,1
I,04B061,Cessna 172,HB-CIE,CIE,Y,Y,2
O,04B729,Drone/UAV,METEO7,,Y,Y,5
O,04C001,HangGlider,04C001,C01,Y,Y,6
O,04C856,Cirrus Std,OK-4301,CV,Y,Y,1
O,04C8EF,Zlin 142,OM-DOR,DOR,Y,Y,2
O,04CAFE,Paraglider,tomasz,313,Y,Y,6
F,04CD03,Paraglider,G4Mick4,,Y,Y,6
O,04CD05,Ground Station,viewAir,.eu,Y,Y,6
O,04CE39,Ka-7,HA-5056,,Y,Y,1
O,04CF14,HangGlider,,,Y,Y,6
O,04D0D0,HangGlider,T2c,,Y,Y,6
O,04DA05,Paraglider,,,Y,Y,6
O,04DEAD,Paraglider,tomasz,13,Y,Y,6
O,04F098,Ground Station,WRover,,Y,Y,6
F,050891,LS-8 18,HB-3352,EY,Y,Y,1
O,051F77,Drone/UAV,PK-X010,P10,Y,Y,5
O,052889,Drone/UAV,PK-X009,P09,Y,Y,5
F,053685,HangGlider,053685,MK,Y,Y,6
O,053816,DV20 Katana,HADAS,DAS,Y,Y,2
F,053E7A,HK36 Super Dimona,D-KLSR,,Y,Y,1
O,0543BA,Ultralight,F-JTKB,,Y,Y,3
O,054916,Cirrus 18m,OK-8774,2W,Y,Y,1
O,055A16,EuroFox,OM-FANX,F4N,Y,Y,3
F,055A30,Discus,HA-4050,M5,Y,Y,1
F,055CB0,SZD-36 Cobra 15,HA-4312,66,Y,Y,1
F,056BC8,PIK-15 Hinu,OH-YHB,YHB,Y,Y,2
F,05A017,Pegase,F-CHEA,H2,Y,Y,1
O,05AF09,Ground Station,TEST-7,TST,Y,Y,6
O,05CAF0,Drone/UAV,TEST.NX,115,Y,Y,5
O,05DB23,Blanik,OK-6706,06,Y,Y,1
O,060577,Paraglider,ToddyS,,Y,Y,6
O,062024,EuroFox,foxCube,FOX,Y,Y,3
O,062323,VT-116 Orlik II,OK 6907,UO,Y,Y,1
O,062909,VSO-10,GGP6,GG6,Y,Y,1
O,063770,Cirrus Std,D-0705,,Y,Y,1
F,063868,Paraglider,Mario A,AMA,Y,Y,6
O,064D0E,SF-25,HA-1270,,Y,Y,1
O,065247,Unknown,KILY-1,Vin,Y,Y,6
O,0658B7,Paraglider,615,615,Y,Y,6
O,066015,Z-226 trener,OK-MPB,226,Y,Y,2
O,06611F,Ultralight Glider,33-78,244,Y,Y,1
O,066F73,Nimbus 2,OK-0566,BM,Y,Y,1
O,06A4D0,Paraglider,,,Y,Y,6
F,06A80B,Ultralight,F-35,F35,Y,Y,3
O,06B328,Maule M-7,,FMT,Y,Y,2
O,06CD5D,HangGlider,viewAir,038,Y,Y,6
F,06DD4E,Discus bT,D-KIFZ,FZ,Y,Y,1
F,06DDA6,DG-505,D-7282,VG,Y,Y,1
F,06DDAD,Zugvogel IIIb,D-8489,59,Y,Y,1
F,06DDDF,DG-808 B,HB-2322,JW,Y,Y,1
F,06DDE7,Ka-8,D-3232,32,Y,Y,1
F,070678,Paraglider,PieterB,,Y,Y,6
F,070F34,Paraglider,RICHC,RJC,Y,Y,6
I,071308,Paraglider,,,Y,Y,6
O,071AC4,HangGlider,HG2272,,Y,Y,6
O,071B14,Paraglider,19173,,Y,Y,6
O,071CA9,Paraglider,Jono,,Y,Y,6
O,071CE7,Paraglider,HOPPY,,Y,Y,6
I,071D23,Paraglider,,,Y,Y,6
O,072000,Cessna 182,CC-KWJ,WJ,Y,Y,2
