device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
I,A32850,Mosquito,N302S,VNE,Y,Y,1
F,A32A83,DG-303,N303AM,8E,Y,Y,1
I,A32E62,HPH 304C,N304CB,BB,Y,Y,1
F,A32E7D,HPH 304CZ-17,N304DD,DD,Y,Y,1
I,A32ED6,HPH 304C,N304GT,1M,Y,Y,1
F,A32FC7,HPH 304S Shark,N304SJ,SJ,Y,Y,1
I,A339A5,DG-1000,N307DG,7DG,Y,Y,1
I,A33D5C,DG-1000,N308DG,8DG,Y,Y,1
I,A34113,DG-1000,N309DG,9DG,Y,Y,1
F,A345EA,ASH-31 MI,N31QV,8H,Y,Y,1
F,A34697,ASH-31 MI,N31XT,J7,Y,Y,1
I,A34723,DG-1000,N310DG,0DG,Y,Y,1
I,A34ADA,DG-1000,N311DG,1DG,Y,Y,1
I,A34BA9,ASH-31 MI,N311MP,1MP,Y,Y,1
I,A3569F,ASK-21,N314KS,KS,Y,Y,1
F,A359A2,Stemme S-10,N315CM,,Y,Y,1
F,A36576,Ventus 3F,N318KM,KM,Y,Y,1
F,A368F7,ASW-19,N319HH,GC,Y,Y,1
I,A36C67,Discus,N32EM,EM,Y,Y,1
I,A372E8,ASK-21,N321K,21K,Y,Y,1
O,A373A1,Robinson R44,N321SK,,Y,Y,4
I,A37497,ASK-21,N3211W,11W,Y,Y,1
F,A3760F,Discus 2cT,N322DF,V2,Y,Y,1
I,A376DE,Drone/UAV,Matter,MNT,Y,Y,5
I,A3849A,ASH-26 E,N326A,6A,Y,Y,1
F,A38CD0,LS-1 f,N328J,L8,Y,Y,1
I,A38DB3,ASW-28,N328TB,8TB,Y,Y,1
I,A39421,JS-3 15M,N33GW,GW,Y,Y,1
F,A39427,DG-300,N33HB,H8,Y,Y,1
F,A3950B,DG-800,N33SE,Z15,Y,Y,1
F,A3951E,Ventus 3M,N33SZ,Z1,Y,Y,1
I,A39A5F,ASH-31 MI,N331JS,JS,Y,Y,1
I,A3A195,ASW-20,N20VB,PV,Y,Y,1
I,A3BB94,Ventus 2,N34GJ,34,Y,Y,1
F,A3BF0C,Ventus 2c,N340TW,WAY,Y,Y,1
I,A3C1F7,ASK-21,N341KS,1KS,Y,Y,1
I,A3D5A5,Maule M-7,N346X,,Y,Y,2
I,A3EA14,Glasflugel H301,N351S,1S,Y,Y,1
I,A3F8DA,Ventus 2,N355RC,3RC,Y,Y,1
O,A40002,Unknown,A40002,,Y,Y,6
F,A412F4,SGS 1-35,N3614N,4N,Y,Y,1
F,A41CB5,LS-4,D-8286,,Y,Y,1
I,A42F2B,JS-3 18M,N369QT,QT,Y,Y,1
I,A431C6,LS-8a,N37DJ,7DJ,Y,Y,1
F,A459D9,Pegase,N38KG,PF,Y,Y,1
I,A45B7D,Motorplane,N380CA,,Y,Y,2
F,A47726,ASG-29E,N387V,7V,Y,Y,1
F,A48072,JS-3 18M,N39AB,9B,Y,Y,1
F,A48207,LS-8a,N39SG,P1,Y,Y,1
F,A49B09,Ventus,OK-6475,VV,Y,Y,1
F,A4A2FF,Twin Astir II,N3981C,81C,Y,Y,1
I,A4AA4E,LS-6,N40AF,0AF,Y,Y,1
O,A4AE30,UFO,Zoltar,666,Y,Y,6
F,A4CE44,Discus,N409CB,0F,Y,Y,1
F,A4D24F,Libelle Std,41FL,FL,Y,Y,1
F,A4D2B6,Twin Astir III,N41KP,KP,Y,Y,1
I,A4D41E,ASW-24,N41ZZ,GO,Y,Y,1
I,A4DC66,MDM-1 Fox,N412JR,2JR,Y,Y,1
F,A4DCA8,ASH-31 MI,N412MG,12,Y,Y,1
I,A4DD1F,Silent 2 Electro,N412SA,S2A,Y,Y,1
I,A4E411,Motorplane,N414MB,,Y,Y,2
I,A4E4FB,Stemme S-10,N414WL,4WL,Y,Y,1
F,A4E809,Carat,N415PS,TOR,Y,Y,1
F,A4EAD5,ASW-24,N416EG,GG,Y,Y,1
I,A4EBC4,PW-6,N416PW,6PW,Y,Y,1
F,A4F979,Discus,N42CA,TR,Y,Y,1
I,A4F9B3,Phoenix,N42EJ,2EJ,Y,Y,3
I,A4FBB9,Blanik,N420BA,BA,Y,Y,1
F,A4FBEA,ASW-20,N420D,OD2,Y,Y,1
F,A4FFC0,ASK-21,N421EF,EF,Y,Y,1
I,A50C0B,ASW-24,N424S,JW,Y,Y,1
I,A50F83,Stemme S-12,N425PM,PM,Y,Y,1
F,A51365,LS-8 18,N426RE,NS2,Y,Y,1
F,A515C0,Twin Astir II,N427BG,ASC,Y,Y,1
F,A51D93,Mini Nimbus,CC-PXX,XX,Y,Y,1
F,A51EA6,ASG-29,N429SH,U,Y,Y,1
F,A52163,,,,Y,N,1
I,A52271,Phoenix,N43TC,3TC,Y,Y,3
F,A52B9F,PIK-20 D,N432M,2M,Y,Y,1
I,A52FDB,AS 33,N433SH,SH,Y,Y,1
F,A53161,PA-25 Pawnee,N4335Y,35Y,Y,Y,2
F,A54069,Rallye 180T-D,D-EEUP,UP,Y,Y,2
I,A5449E,ASW-19,N439AS,9AZ,Y,Y,1
I,A548A6,Phoenix,N44DY,4DY,Y,Y,3
I,A5514D,PW-5,N4414W,14W,Y,Y,1
I,A55B08,ASH-31 MI,N65BC,BC,Y,Y,1
F,A5614B,Cirrus Std,N446E,5Tf,Y,Y,1
F,A570A5,Discus 2c,N616JG,JG,Y,Y,1
F,A57174,LS-4,N45TH,VL,Y,Y,1
I,A57479,ASH-26 E,4500E,0E,Y,Y,1
I,A57924,Beech Bonanza V35,N4517D,17D,Y,Y,2
F,A584C9,Blanik,N455BA,B4,Y,Y,1
I,A58938,Ventus 2c,N456JK,JK,Y,Y,1
I,A5AD88,PW-5,N465PW,5PW,Y,Y,1
I,A5B8E4,ASK-21,N468SA,8SA,Y,Y,1
F,A5BF13,Ventus 2cM,N47DG,DG,Y,Y,1
I,A5BFE1,Drone/UAV,Matter,MNT,Y,Y,5
I,A5C134,Blanik,N470BA,0BA,Y,Y,1
I,A5DB80,Discus,N477EA,EA,Y,Y,1
F,A5E4DF,DG-300,D-2871,L71,Y,Y,1
F,A5E697,Ventus,N48DM,E5,Y,Y,1
I,A5E6C8,MDM-1 Fox,N48FL,8FL,Y,Y,1
I,A5E6DA,Phoenix,N48GD,8GD,Y,Y,3
I,A5E76F,ASH-31 MI,N48NC,RR,Y,Y,1
F,A5E87F,Mini Nimbus,N48Z,4M,Y,Y,1
F,A5EEE0,DG-808 B,N4811W,BG,Y,Y,1
I,A5F4B0,Duo Discus,N483KS,QQ,Y,Y,1
I,A61C69,ASG-29,N493N,ZL,Y,Y,1
F,A6355B,Stemme S-10,N5BD,BD,Y,Y,1
F,A63761,ASW-27,N5XX,C6,Y,Y,1
I,A63827,ASH-26 E,N50FU,81,Y,Y,1
I,A63AC5,PW-5,N500JN,PW5,Y,Y,1
I,A63DF9,DG-1000,N501DG,1DG,Y,Y,1
F,A63FA2,JS-1 C21,501wg,3M,Y,Y,1
I,A641B0,DG-1000,N502DG,2DG,Y,Y,1
F,A6455C,ASW-27,N503CW,A5,Y,Y,1
I,A64567,DG-1000,N503DG,3DG,Y,Y,1
I,A646A5,SZD-50 Puchacz,N503S,3S,Y,Y,1
I,A64D56,DG-500,N505JL,5JL,Y,Y,1
F,A64D65,Discus,N505KA,Y4,Y,Y,1
F,A64DCA,DG-505,N505PB,SSB,Y,Y,1
I,A65223,H36 Dimona,n506vp,,Y,Y,1
F,A666CE,SZD-48 Jantar Std 2,N511SZ,UV,Y,Y,1
F,A666E4,Discus,N511TW,TW,Y,Y,1
I,A6692F,DG-1000,N512DG,2DG,Y,Y,1
F,A66B58,Stemme S-10,N5121,S10,Y,Y,1
I,A66CE6,DG-1000,N513DG,3DG,Y,Y,1
I,A67CB7,ASH-31 MI,N517PB,7PB,Y,Y,1
F,A68CDE,ASK-21,N521CG,CG,Y,Y,1
I,A6959A,Discus 2,N523RR,WL,Y,Y,1
F,A6A300,DG-808 B,N928Q,,Y,Y,1
F,A6A49E,ASW-27,N527TF,9F,Y,Y,1
F,A6AEDF,ASW-19,N53JC,Z3,Y,Y,1
F,A6AF18,Discus 2,N53LK,WX,Y,Y,1
F,A6B08E,miniLAK FES,N530BH,BH,Y,Y,1
F,A6B9EB,ASG-32 MI,N532XC,XC,Y,Y,1
F,A6BA51,Cessna 172,N53205,,Y,Y,2
F,A6D596,Nimbus 3,N54AC,IB,Y,Y,1
I,A6D6E2,Sinus,N54PK,4PK,Y,Y,1
F,A6DF27,Cessna 172,N5418V,8V,Y,Y,2
F,A6E39F,JS-3 18M,N543FS,FS,Y,Y,1
I,A6EA4D,Twin Astir II,N5448W,48W,Y,Y,1
F,A6FDFA,Pegase,N55KG,R4,Y,Y,1
I,A6FE16,Duo Discus t,N55LK,5LK,Y,Y,1
F,A6FEAB,SZD-55,N55SZ,H4,Y,Y,1
F,A6FEBA,SZD-55,N55SZ,H4,Y,Y,1
I,A70561,Libelle Std,N551Z,51Z,Y,Y,1
I,A70F9E,DG-808 B,N554PT,4PT,Y,Y,1
I,A7129A,Ventus c,N555GF,GF,Y,Y,1
F,A71358,PW-5,N555PW,5PW,Y,Y,1
F,A71B80,Cirrus Std,VH-XQV,XQV,Y,Y,1
I,A71D56,ASG-29,N558CA,CA,Y,Y,1
F,A72415,Schreder HP-18,N996S,96S,Y,Y,1
I,A726D9,SZD-56-2 Diana 2,56ZJ,ZJ,Y,Y,1
F,A72E7C,SZD-56-2 Diana 2,n562bl,m,Y,Y,1
I,A733A7,Twin Astir II,N563SH,3SH,Y,Y,1
O,A73417,Paraglider,MiB,MiB,Y,Y,6
I,A73467,Cirrus Std,N5630,630,Y,Y,1
F,A74C49,Duo Discus,N57CG,CGC,Y,Y,1
I,A79E87,Drone/UAV,Matter,MNT,Y,Y,5
I,A7AD15,SZD-59 Acro,N594JK,JK,Y,Y,1
O,A7C055,AC-4,N599RH,RU,Y,Y,1
F,A7C49E,Discus,N6XD,XD,Y,Y,1
I,A7C52D,ASW-27,N60CW,U,Y,Y,1
I,A7C8D0,ASK-21,N600SA,SA,Y,Y,1
I,A7CA0C,Stemme S-10,N6003M,3M,Y,Y,1
F,A7D668,ASW-27,N604DB,J3,Y,Y,1
I,A7F1A2,LS-3,N6104,K3,Y,Y,1
I,A7FABC,ASH-31 MI,N613JS,3JS,Y,Y,1
I,A7FDEC,DG-1000,N614DG,4DG,Y,Y,1
I,A801A3,DG-1000,N615DG,5DG,Y,Y,1
F,A81426,ASH-31 MI,N62CR,CR,Y,Y,1
I,A8170E,Ventus 3F,N620JJ,0JJ,Y,Y,1
F,A81A2D,ASK-21,N621CG,21,Y,Y,1
F,A81B12,Ka-8,MA,MA,Y,Y,1
F,A822A4,Libelle Std,N623NX,NX,Y,Y,1
I,A829F0,Drone/UAV,Matter,MNT,Y,Y,5
O,A82B18,Ultralight,F-PKAE,AE,Y,Y,3
I,A82CBA,Pegase,N626CA,E2,Y,Y,1
I,A83171,ASW-27,N627NG,7NG,Y,Y,1
F,A831C0,ASG-29,N627RL,TG,Y,Y,1
F,A83428,Pegase,N628CA,MSM,Y,Y,1
F,A848AC,Unknown,N6328T,,Y,Y,6
F,A84914,Pegase,N633CA,3CA,Y,Y,1
I,A85D2F,HK36 Super Dimona,N638TT,8TT,Y,Y,1
I,A860E6,HK36 Super Dimona,N639TT,9TT,Y,Y,1
F,A8642E,Discus 2,N64PG,PG,Y,Y,1
F,A8766F,ASG-29,N6440,DB,Y,Y,1
F,A87E3B,PA-25 Pawnee,N6462Z,62Z,Y,Y,2
I,A881AC,Towplane,N6470Z,70Z,Y,Y,2
I,A8861D,Cirrus,N6486,86,Y,Y,1
F,A88A7D,ASH-31 MI,N65BC,BC,Y,Y,1
F,A88B32,Discus,N65JJ,RK,Y,Y,1
I,A88E10,ASW-27,N650PS,2P,Y,Y,1
F,A89361,ASW-20,N6514M,DC,Y,Y,1
I,A895AA,Unknown,N652RL,2RL,Y,Y,6
F,A8B21A,LS-3,N66CH,SW,Y,Y,1
F,A8B242,ASH-26 E,N66DY,DY,Y,Y,1
O,A8B247,Motorplane,N66EC,,Y,Y,2
I,A8B293,ASG-29E,N66HD,HD,Y,Y,1
F,A8B3B5,LS-6,N66UU,66,Y,Y,1
I,A8B3C3,JS-3 18M,N66VH,VH,Y,Y,1
I,A8CBF5,Piper PA-22 Tripacer,OY-AFT,,Y,Y,2
F,A8DB64,Discus,N67ws,ZY,Y,Y,1
I,A92888,Motorplane,N69BT,,Y,Y,2
I,A9297D,Drone/UAV,Matter,MNT,Y,Y,5
I,A93A84,ASK-21,N694KS,4KS,Y,Y,1
I,A94D7F,DG-808 B,N699PW,9PW,Y,Y,1
I,A9509A,Arcus M,N7HQ,G,Y,Y,1
F,A9525F,DG-400,N70BS,92,Y,Y,1
I,A9530F,JS-3 18M,N70JT,0JT,Y,Y,1
I,A95315,Phoenix,N70JZ,0JZ,Y,Y,3
F,A95339,Ventus 3F,N70LK,H1,Y,Y,1
I,A9549A,Cessna T303,N700AM,377,Y,Y,2
I,A9561F,ASK-21,N700SA,0SA,Y,Y,1
O,A95754,HangGlider,HG2547A,,Y,Y,6
F,A962AF,PA-25 Pawnee,N7034Z,34Z,Y,Y,2
I,A96841,Drone/UAV,Matter,MNT,Y,Y,5
O,A9704C,DG-808 B,N707TV,YS,Y,Y,1
F,A973FE,AV 36 Fauvel,Louroux,LRX,Y,Y,1
I,A9771D,Drone/UAV,Matter,MNT,Y,Y,5
F,A97B5C,ASH-31 MI,N71SZ,SZ,Y,Y,1
I,A981EE,DA40,N711YD,,Y,Y,2
F,A994D2,Glasflugel H301,N-7161,GA,Y,Y,1
I,A99660,DG-1000,N717DG,7DG,Y,Y,1
I,A9969C,LAK-17B FES,N717FS,7FS,Y,Y,1
I,A99A17,DG-1000,N718DG,8DG,Y,Y,1
I,A99DCE,DG-1000,N719DG,9DG,Y,Y,1
F,A9A1A3,ASW-27,N72EM,21,Y,Y,1
F,A9A792,Duo Discus,N721DD,DUO,Y,Y,1
F,A9B6CE,ASH-25,N725H,FNX,Y,Y,1
F,A9BB63,ASH-26 E,N726RX,RX,Y,Y,1
F,A9BC2E,Paraglider,,,Y,Y,6
I,A9C612,ASW-27,N729MD,9MD,Y,Y,1
F,A9CB1D,Ventus 2bx,VH-GVG,VG,Y,Y,1
I,A9CC25,ASH-31 MI,N730MG,0MG,Y,Y,1
I,A9F083,Mosquito,N74DG,4DG,Y,Y,1
F,A9F29A,Arcus T,N740AR,ARC,Y,Y,1
F,A9F487,Ventus cM,D-KKGS,GS,Y,Y,1
I,A9F49A,Arcus M,N740XC,0XC,Y,Y,1
O,A9FBDA,Ultralight,F-JCHO,HO,Y,Y,3
O,AA000F,A380,HB-X2,GG,Y,Y,1
F,AA0D9B,UFO,N747LX,,Y,Y,6
F,AA26A5,Ventus 3F,N753R,3R,Y,Y,1
F,AA2CBD,Ventus 3M,N755BH,H7,Y,Y,1
F,AA2EDB,ASW-27,N755Z,5Z,Y,Y,1
F,AA39BA,Libelle Std,N758WE,WE,Y,Y,1
I,AA3B54,SGS 2-33A,N7589,589,Y,Y,1
F,AA3CA1,Twin Astir II,C-GVSA,SA,Y,Y,1
I,AA412F,PIK-20 B,N76WM,6WM,Y,Y,1
F,AA436F,ASH-31 MI,N760VM,VM,Y,Y,1
I,AA4B94,ASW-24,N7622,622,Y,Y,1
F,AA5A78,DG-808 C,F-FUCK,FF,Y,Y,1
I,AA5BCD,Carat,N767CT,7CT,Y,Y,1
F,AA66C1,Discus,n630ck,CK,Y,Y,1
O,AA6701,DR-400,A-TEST,JO9,Y,Y,2
F,AA67E4,ASW-20,LV-EQY,ACP,Y,Y,1
I,AA687A,ASH-31 MI,N77UK,UK,Y,Y,1
F,AA7408,ASG-29,N7729,89,Y,Y,1
F,AA78B9,Discus 2,N774JP,WA,Y,Y,1
F,AA78D5,ASK-21,N774KS,KS,Y,Y,1
F,AA7EFF,PA-25 Pawnee,N7757Z,57Z,Y,Y,2
F,AA841A,Discus,N777LZ,LZ,Y,Y,1
F,AA89FA,SGS 1-26,N7786S,456,Y,Y,1
F,AA8A52,ASW-27,N7789,ER,Y,Y,1
I,AA8E2F,ASW-27,N78AB,DD,Y,Y,1
F,AA8EAB,Ventus 2cxT,N78FA,V1,Y,Y,1
F,AAAAAA,Ventus 2cxT,CC-AGN,GN,Y,Y,1
F,AABA28,Sinus,F-JIRG,,Y,Y,1
F,AABD4F,ASK-21,N791SC,1SC,Y,Y,1
O,AABEEF,Other,RobR,2R,Y,Y,1
F,AADCC2,Slingsby Skylark 4,N7997A,44,Y,Y,1
F,AAE22D,DG-800,N800DE,EO,Y,Y,1
F,AAE383,DG-800,N800SX,FWS,Y,Y,1
F,AAE3AB,DG-808 B,N800UM,UM,Y,Y,1
I,AAE3C9,DG-800,N800VS,0VS,Y,Y,1
I,AAE400,DG-800,N800XX,0XX,Y,Y,1
F,AB034E,Ventus cM,PH14,KMS,Y,Y,1
F,AB2346,Mini Nimbus,N817JS,QRP,Y,Y,1
F,AB2436,Mini Nimbus,N817JS,QRP,Y,Y,1
F,AB27AB,LS-8 18,N818GA,DDS,Y,Y,1
I,AB289C,LS-8 18,N818RS,12,Y,Y,1
O,AB313D,LAK-17B FES,C-FZST,ST,Y,Y,1
I,AB35B7,Ventus 3F,N821MT,1MT,Y,Y,1
I,AB4232,ASG-29,N8241,241,Y,Y,1
I,AB4724,Libelle Std,N826,826,Y,Y,1
F,AB4AF7,ASW-27,N827BB,BB,Y,Y,1
F,AB5875,ASH-31 MI,N830BB,BB,Y,Y,1
I,AB5D31,Drone/UAV,Matter,MNT,Y,Y,5
F,AB61CD,ASG-32 MI,N832WS,WS,Y,Y,1
O,AB6300,HangGlider,HG2547B,,Y,Y,6
I,AB7A13,HPH 304CZ-17,N839CZ,RB,Y,Y,1
I,AB7F17,Glasflugel 304S T,N84SG,4SG,Y,Y,1
F,ABA8D9,LS-8 18,N850RK,Z1,Y,Y,1
F,ABAA47,PA-25 Pawnee,N8504L,04L,Y,Y,2
I,ABB29D,Astir CS,N853BG,BG,Y,Y,1
F,ABB650,Cirrus,N854BC,,Y,Y,1
F,ABCDEF,ASH-31 MI,D-KKJM,9X,Y,Y,1
I,ABCE8E,LAK-17 A,N86XC,8XC,Y,Y,1
F,AC06AC,Paraglider,Richie,RBN,Y,Y,6
F,AC1232,ASG-29,n877v,BR,Y,Y,1
I,AC1BFD,Ventus,N88FD,8FD,Y,Y,1
I,AC1D24,Ventus 2cxT,N88SZ,Z1,Y,Y,1
I,AC200C,Stemme S-10,N880YS,0YS,Y,Y,1
I,AC30C5,DG-1000,LV-EKH,DT,Y,Y,1
I,AC3833,Arcus S,N887DT,7DT,Y,Y,1
F,AC5548,DG-100,EC-HTM,CH,Y,Y,1
I,AC67D7,ASK-21,N899MA,9MA,Y,Y,1
I,AC6854,ASK-21,N899SA,9SA,Y,Y,1
F,AC6C53,Ventus 2cxM,N9UY,MP,Y,Y,1
F,AC6F3D,DG-200,N900AS,WS,Y,Y,1
F,AC9383,Discus,N9094D,4D,Y,Y,1
I,AC947D,LS-6,N91BT,YV,Y,Y,1
F,AC9BD9,Ventus ct,N911R,EF,Y,Y,1
O,AC9EDD,Paraglider,Hilbren,,Y,Y,6
I,ACA315,Arcus M,N913P,13P,Y,Y,1
F,ACB29C,Ventus 2bx,N917VW,T L,Y,Y,1
F,ACB35C,JS-3 18M,N9172T,2Tf,Y,Y,1
O,ACBE53,SZD-50 Puchacz,SP-3181,AK,Y,Y,1
F,ACC2F4,ASW-20,n921m,3m,Y,Y,1
I,ACD9DC,Stemme S-10,N927TH,7TH,Y,Y,1
I,ACDD40,DG-800,N928Q,28Q,Y,Y,1
F,ACE06B,ASG-29,N929JK,2XX,Y,Y,1
F,ACE46B,ASW-24,N93MH,HE,Y,Y,1
I,AD0BB7,Pegase,N94KG,4KG,Y,Y,1
I,AD1CDD,LAK-17B FES,N944JS,4JS,Y,Y,1
F,AD2AF9,Ventus,N948B,OA,Y,Y,1
F,AD38B0,A380,N951DG,DG,Y,Y,1
I,AD3937,JS-1 C18 Evo,N951JS,1JS,Y,Y,1
F,AD48F4,ASK-21,N955TS,R21,Y,Y,1
I,AD6784,JS-1 C18 Evo,N963CG,CG,Y,Y,1
F,AD742A,ASK-21,N966TS,G21,Y,Y,1
I,AD81F3,ASW-19,N97GS,WE,Y,Y,1
F,AD9F60,ASK-21,N977TS,B21,Y,Y,1
I,ADB374,Duo Discus,N982KA,2KA,Y,Y,1
F,ADBBA9,Ventus,N984T,19,Y,Y,1
I,ADC3EE,SGS 1-26,N9861E,323,Y,Y,1
F,ADC57C,LS-6,N987DM,DM,Y,Y,1
F,ADCA22,AS 33,N988PA,98f,Y,Y,1
I,ADCB98,Cessna 172,N98825,,Y,Y,2
I,ADD6AF,Pilatus PC-12,N991DK,,Y,Y,2
F,ADDEA5,Cessna 150,HA-SZP,SZP,Y,Y,2
F,ADDEF5,PA-25 Pawnee,HA-TNB,TW2,Y,Y,2
F,ADDEF7,Antonov 2,HA-MEN,MEN,Y,Y,2
F,ADE34A,HPH 304S Shark,D-KETE,TE,Y,Y,1
F,ADE5FE,Stemme S-10,N995J,5J,Y,Y,1
F,ADE9AB,Ventus 2cM,OK-0070,VJ,Y,Y,1
F,ADF1E3,Genesis 2,N998RS,RS,Y,Y,1
I,ADF515,Stemme S-10,N999LJ,9LJ,Y,Y,1
F,AF00E4,ASW-28,N322EG,EG,Y,Y,1
O,AF9175,Ventus,OK 4611,7F,Y,Y,1
O,AFE192,Paraglider,SK954,,Y,Y,6
F,B022AB,Ultralight,I8956,001,Y,Y,3
F,B04AC2,Towplane,D-KSSS,KS,Y,Y,2
O,B082CF,Ultralight,F-JWSD,,Y,Y,3
O,B0969B,Helicopter,A4011,,Y,Y,4
F,B0DE11,Ground Station,B-ODEN,,Y,Y,6
O,B1122F,Ultralight,F-JSRC,,Y,Y,3
O,B19DD0,Balloon,F5-CNES,,Y,Y,6
O,B1EA44,VSO-10,OM-9613,88,Y,Y,1
F,B1F9F8,Blanik,OK-2705,705,Y,Y,1
F,B1FA98,Cirrus Std,OK-0569,aw,Y,Y,1
F,B1FCB8,DG-100,,FZZ,Y,Y,1
F,B201F4,Paraglider,ACE,ACE,Y,Y,6
O,B20258,Std. Astir II,Avium,BJ,Y,Y,1
F,B202A0,Paraglider,HeinerW,HW,Y,Y,6
F,B202D8,Cessna 150,N4205U,05U,Y,Y,2
O,B20654,Tecnam  P2002 JF,LZ-NTH,,Y,Y,2
O,B2068C,Unknown,Testing,TST,Y,Y,6
F,B20950,Paraglider,ThomasM,TM,Y,Y,6
F,B2799F,EuroFox,D-MDJB,JB,Y,Y,3
O,B33434,Drone/UAV,Drone,1,Y,Y,5
F,B38F71,Grob G109,D-KETB,TB,Y,Y,2
O,B4BA1E,Unknown,FEP,FEP,Y,Y,6
O,B54D5A,PA-28,N15MZ,,Y,Y,2
I,B5C05E,Ground Station,Radley,,Y,Y,6
F,B5C6C9,LS-3,,SW,Y,Y,1
O,B5EF38,Cirrus,LY-AUR,UR,Y,Y,1
F,B60000,Towplane,OE-ACB,CB,Y,Y,2
F,B6000C,Motorplane,AIR-STM,STM,Y,Y,2
O,B600CC,SZD-30 Pirat,G-DDTW,,Y,Y,1
F,B60144,Ultralight,OKGUA14,A14,Y,Y,3
O,B60148,ASW-15,OK-2346,2P,Y,Y,1
F,B602A4,Unknown,B3T4,,Y,Y,6
O,B603C8,Parrot Bebop,B603C8,G-,Y,Y,5
O,B603F8,VSO-10,OK4506,I9,Y,Y,1
F,B60488,P 220 Koala,PH-IBL,LK,Y,Y,3
O,B60494,Ka-7,OK0652,,Y,Y,1
F,B604B0,WT9 Dynamic,OKJUU18,U18,Y,Y,3
O,B604C4,ASW-19,Fricak,FR2,Y,Y,1
O,B60574,UFO,OM-P399,Rok,Y,Y,6
O,B605AC,Paraglider,OM-L163,MiK,Y,Y,6
F,B606BC,Cirrus Std,S5-3041,M1,Y,Y,1
O,B60710,Ultralight,ZARA-B6,,Y,Y,3
O,B6072C,Blanik,OK0913,,Y,Y,1
O,B60868,Discus 2cT,OY-XZN,ZN,Y,Y,1
F,B60B28,DHC-1 Chipmunk,G-BVTX,TX,Y,Y,2
O,B60B90,UFO,INO-010,SCS,Y,Y,6
O,B60CB0,Cirrus Std,G-CJJJ,,Y,Y,1
O,B60D78,UFO,SGP-13,G13,Y,Y,6
O,B60D94,UFO,SGP-12,G12,Y,Y,6
O,B60DA0,UFO,SGP-06,G06,Y,Y,6
F,B60DAC,UFO,TvL,GG2,Y,Y,6
O,B60DB8,Skylane Airlony,OKPUO75,,Y,Y,3
F,B60DCC,Libelle Club,G-CLGR,L,Y,Y,1
O,B60DDC,UFO,SGP-18,G18,Y,Y,6
O,B60E18,UFO,SGP-15,G15,Y,Y,6
O,B60E1C,UFO,SGP-02,G02,Y,Y,6
O,B60E40,UFO,SGP-17,G17,Y,Y,6
O,B60E68,UFO,SGP-07,G07,Y,Y,6
O,B60E80,UFO,SGP-09,G09,Y,Y,6
F,B60E90,UFO,SGP-08,G08,Y,Y,6
O,B60E94,UFO,SGP-10,G10,Y,Y,6
O,B60EDC,UFO,SGP-14,G14,Y,Y,6
O,B60F1C,UFO,G-OJNE,,Y,Y,6
O,B60F50,UFO,SGP-03,G03,Y,Y,6
O,B60F74,Ground Station,BE,BE,Y,Y,6
O,B60FB0,Blanik,OK7706,UL,Y,Y,1
O,B60FC0,Helicopter,INO-012,SCS,Y,Y,4
O,B60FE4,UFO,SGP-11,G11,Y,Y,6
O,B61004,UFO,SGP-04,G04,Y,Y,6
O,B7E77D,AS 350,F-HGAP,AP,Y,Y,4
O,B827EB,SportCruiser,GCSHB,,Y,Y,2
F,B843E5,Mosquito,G-CJTO,JTO,Y,Y,1
O,B94108,Ultralight,D-MZWK,,Y,Y,3
F,B941D4,DJI Phantom,DJI-PH,2F,Y,Y,5
O,B94238,Z-226 trener,OK-MFV,KL2,Y,Y,2
O,B942A8,UFO,HA-BOTI,BL,Y,Y,6
O,B943F8,Blanik,OM-0233,,Y,Y,1
F,B944C8,Cirrus Std,OK-2063,EM,Y,Y,1
O,B94538,H36 Dimona,D-KEWA,,Y,Y,1
O,B94564,Twin Astir II,OM-1801,ZA,Y,Y,1
F,B945C4,Paraglider,,,Y,Y,6
F,B945CC,Paraglider,,,Y,Y,6
O,B946C4,PW-5,LV-EMB,PJ,Y,Y,1
F,B946EC,ASK-13,OK-0419,K13,Y,Y,1
O,B98950,Rubik R-26 Gobe,HA5563,,Y,Y,1
O,B99130,Paraglider,,,Y,Y,6
F,B9945C,Slingsby T51 Dart 17R,VH-IZO,IZO,Y,Y,1
O,B99C30,PW-5,LV-EON,GF,Y,Y,1
O,B99D6C,L 13 SEH Vivat,OK-0113,,Y,Y,1
O,B99D74,VSO-10,OK-4524,,Y,Y,1
O,B99D84,VSO-10,OK-7504,,Y,Y,1
F,B99D94,Paraglider,Engel,AE1,Y,Y,6
O,B99DC8,UFO,SGP-16,G16,Y,Y,6
O,B99DFC,Cirrus Std,OK-1358,DC,Y,Y,1
F,B99EE4,Cirrus Std,OK-6493,AC,Y,Y,1
F,B99EE8,UFO,,CRZ,Y,Y,6
O,B99EEC,Paraglider,NB1XC,NB1,Y,Y,6
F,B99FC4,Mosquito,G-DDTX,DTX,Y,Y,1
F,B9A014,Ka-8,OK-6221,K8,Y,Y,1
O,B9A028,Blanik,OK-0213,E,Y,Y,1
O,B9A030,,,,Y,N,3
F,B9A060,TST-10,OKIUD01,DP,Y,Y,1
F,B9A06C,Twin Astir II,OK-9688,BL,Y,Y,1
F,B9A078,Paraglider,,,Y,Y,6
O,B9A07C,PA-25 Pawnee,OK-EYX,EYX,Y,Y,2
